state,psychiatrists,population,psychiatrists_per_100k,year
Alabama,332.0,4921532.0,6.75,2020
Alaska,73.0,740504.0,9.86,2020
Arizona,660.0,7421401.0,8.89,2020
Arkansas,255.0,3030522.0,8.41,2020
California,6043.0,39368078.0,15.35,2020
Colorado,658.0,5807719.0,11.33,2020
Connecticut,896.0,3557006.0,25.19,2020
Delaware,93.0,986809.0,9.42,2020
District of Columbia,327.0,712816.0,45.87,2020
Florida,2024.0,21733312.0,9.31,2020
Georgia,951.0,10710017.0,8.88,2020
Guam,5.0,168489.0,2.97,2020
Hawaii,250.0,1407006.0,17.77,2020
Idaho,86.0,1826913.0,4.71,2020
Illinois,1493.0,12587530.0,11.86,2020
Indiana,443.0,6754953.0,6.56,2020
Iowa,216.0,3163561.0,6.83,2020
Kansas,277.0,2913805.0,9.51,2020
Kentucky,387.0,4477251.0,8.64,2020
Louisiana,530.0,4645318.0,11.41,2020
Maine,204.0,1350141.0,15.11,2020
Maryland,1218.0,6055802.0,20.11,2020
Massachusetts,2027.0,6893574.0,29.4,2020
Michigan,995.0,9966555.0,9.98,2020
Minnesota,598.0,5657342.0,10.57,2020
Mississippi,173.0,2966786.0,5.83,2020
Missouri,606.0,6151548.0,9.85,2020
Montana,84.0,1080577.0,7.77,2020
Nebraska,167.0,1937552.0,8.62,2020
Nevada,206.0,3138259.0,6.56,2020
New Hampshire,204.0,1366275.0,14.93,2020
New Jersey,1257.0,8882371.0,14.15,2020
New Mexico,255.0,2106319.0,12.11,2020
New York,4795.0,19336776.0,24.8,2020
North Carolina,1227.0,10600823.0,11.57,2020
North Dakota,83.0,765309.0,10.85,2020
Ohio,1183.0,11693217.0,10.12,2020
Oklahoma,289.0,3980783.0,7.26,2020
Oregon,554.0,4241507.0,13.06,2020
Pennsylvania,1770.0,12783254.0,13.85,2020
Puerto Rico,411.0,3159343.0,13.01,2020
Rhode Island,265.0,1057125.0,25.07,2020
South Carolina,531.0,5218040.0,10.18,2020
South Dakota,86.0,892717.0,9.63,2020
Tennessee,597.0,6886834.0,8.67,2020
Texas,2433.0,29360759.0,8.29,2020
U.S. Virgin Islands,2.0,,,2020
